SNo,Startup Name,Industry/Sector,City,Investors Name,InvestmentType,Amount(USD),Date
597,meesho,AgriTech,Gurugram,"Nexus Venture Partners, sequoia capital india",Pre-Seed,"₹1,660,000,000",2024/12/03
1004,Lenskart,InsurTech,Bombay,info edge ventures,Series D,"$10,000,000",05-30-2025
507,Delhivery,InsurTech,NCR,"SAIF Partners, Nexus Venture Partners",Debt Financing,"USD 30,000,000",2024/03/04
694,PharmEasy,AI/ML,GGN,"y combinator, Nexus Venture",Bridge,Undisclosed,10-07-2025
141,MobiKwik,Cleantech,delhi,Steadview,Pre-Seed,N/A,2025/12/28
697,Zetwerk,FoodTech,GGN,kalaari capital,Series B,N/A,08/01/2023
81, FirstCry ,HealthTech,PUNE,"IDG Ventures, SoftBank",Angel,"$14,000,000",01-25-2024
963,Chargebee,FoodTech,Madras,Falcon Edge Capital,Angel,"$2,400,000",03-19-2021
347, Licious ,HealthTech,Madras,Kalaari,Bridge,"USD 40,000,000",10-12-2022
109,Innovaccer,Real Estate Tech,kolkata,"Kalaari Capital, Blume Ventures",Series D,"₹830,000,000",29-Apr-2022
1195,DIGIT INSURANCE,Logistics,Bombay,Chiratae,Series D,Undisclosed,09/02/2020
917,Zetwerk,Mobility,New Delhi,"tiger global, Blume Ventures",Bridge,"20,000,000",2020/11/17
77,Khatabook,AI/ML,ahmedabad,"SoftBank, Blume",Bridge,"$30,000,000",2023/12/12
941,Licious,Retail Tech,NOIDA,"Elevation Capital, nexus partners",Seed,"$50,000,000.00",02-19-2024
712,FirstCry,SaaS,pune,Nexus Venture Partners,Series B,"5,000,000",2021-10-27
563,khatabook,InsurTech,PUNE,"Accel Partners, Tiger Global",Pre-Seed,"100,000",2024-04-15
48,upGrad,Retail Tech,Bengaluru,"Elevation Capital, Blume Ventures",Series D,Undisclosed,2021-05-12
133,Digit Insurance,Cleantech,Pune,"info edge ventures, falcon edge",Seed,"$1,200,000.00",2024-06-19
1252,PharmEasy,Real Estate Tech,Calcutta,Tiger Global Management,Angel,"20,000,000",2023-09-07
127,Innovaccer,Mobility,pune,"blume ventures, Tiger Global Management",Series E,"$12,000,000",
214,PharmEasy,Cleantech,Bangalore,falcon edge,Seed,"₹4,150,000,000",2025/09/13
31,Licious,Cleantech,gurugram,Nexus Venture,Angel,"$13,000,000.00",2025-12-27
1497,Zerodha,Media & Entertainment,Calcutta,Matrix Partners,Bridge,N/A,2022-11-08
925,Acko,Gaming,GGN,"Y Combinator, Falcon Edge Capital",Series B,"USD 10,000,000",2024/11/09
39,,,,,,,
95,Udaan,AgriTech,Mumbai,"falcon edge, Nexus Venture Partners",Series D,"₹415,000,000",04/07/2025
947,Khatabook,SaaS,Hyderabad ,"Nexus Venture, tiger global",Angel,N/A,02/04/2023
281,Khatabook,SaaS,Bombay,blume ventures,Private Equity,N/A,2020-11-17
379,Chargebee,InsurTech,ahmedabad,"Lightspeed Venture Partners, Sequoia Capital",Series B,,2024-04-07
536,firstcry,FoodTech,Chennai,"Kalaari, Chiratae",Series A,"16,000,000",09/01/2020
1275, Slice ,Cleantech,Noida,Kalaari Capital,Seed,"10,000,000",2023-02-05
820,Rebel Foods,AgriTech,Gurgaon,"InfoEdge, Falcon Edge Capital",Series B,"USD 18,000,000",04-Dec-2021
541,Byju's,Logistics,Hyderabad,Sequoia Capital India,Series B,"$40,000,000.00",11-30-2025
1345,khatabook,FinTech,pune,Tiger Global Management,Series E,Undisclosed,2023/04/12
175,Physicswallah,AgriTech,pune,"sequoia capital india, Tiger Global Management",Series B,"$2,700,000",04-15-2024
1186,Udaan,Retail Tech,Kolkata,"Matrix Partners, Chiratae",Series A,"$700,000.00",02-28-2024
62,Udaan,EdTech,Hyderabad,Chiratae,Series A,,05-Sep-2020
687, upGrad ,Cleantech,gurugram,"Lightspeed, y combinator",Series D,"$3,700,000.00",2021/08/29
598,Groww,AgriTech,New delhi,Blume,Series D,,01-Feb-2023
1213,Innovaccer,AgriTech,Ahmedabad,"Matrix Partners, sequoia capital india",Private Equity,"20,000,000",2022/06/15
1361,Slice,SaaS,,Blume Ventures,Bridge,"$13,000,000.00",2020-01-17
364,Digit Insurance,E-Commerce,Hyderabad ,Chiratae,Series B,Undisclosed,07-08-2021
201,zerodha,E-Commerce,Madras,Chiratae Ventures,Series B,Undisclosed,08-09-2021
554,Urban Company,FinTech,chennai,Tiger Global,Series A,Undisclosed,2024/09/15
713,Delhivery,Real Estate Tech,Bangalore,"Sequoia, Steadview",Seed,"$50,000,000.00",
400,Delhivery,Real Estate Tech,Chennai,"y combinator, Soft Bank",Seed,"$1,300,000.00",26-May-2020
660,Acko,SaaS,delhi,"Softbank Vision Fund, matrix partners",Series E,"USD 8,000,000",12-26-2021
1302,Byju's,Retail Tech,noida,"Blume Ventures, Nexus Venture",Private Equity,"$100,000",30-Sep-2022
13,Meesho,AgriTech,Gurgaon,Nexus Venture Partners,Series D,"8,000,000",2020/07/26
1441,Rebel Foods,Real Estate Tech,ahmedabad,Falcon Edge Capital,Debt Financing,"$18,000,000",10-23-2020
1098,Byju's,FoodTech,bangalore,"y combinator, Falcon Edge",Series A,Undisclosed,07-28-2025
1491,SHARECHAT,FoodTech,Pune,Y Combinator,Pre-Seed,"USD 20,000,000",11-12-2024
323,upGrad,HealthTech,Calcutta,"SAIF Partners, steadview capital",Series A,"$18,000,000",2023/11/08
481,Dunzo,HealthTech,hyderabad,"blume ventures, nexus partners",Pre-Seed,N/A,2024-10-16
32,CRED,Retail Tech,NCR,"Nexus Venture Partners, Lightspeed",Series E,"₹1,079,000,000",
568,CRED,Logistics,pune,lightspeed india,Debt Financing,Undisclosed,2024/11/21
265, BharatPe ,FinTech,chennai,Falcon Edge,Series C,"USD 18,000,000",30-Oct-2021
34,FirstCry,E-Commerce,delhi,InfoEdge,Private Equity,"USD 40,000,000",2020/11/07
737,Urban Company,AI/ML,PUNE,"lightspeed india, Accel India",Series B,"$18,000,000",08-04-2020
695,Cars24,Real Estate Tech,PUNE,"Elevation Capital, Blume Ventures",Bridge,Undisclosed,30/10/2021
972,CRED,AgriTech,Hyderabad ,"Info Edge, SoftBank",Bridge,"₹4,150,000,000",2025-09-12
593,MobiKwik,SaaS,pune,"Falcon Edge, Soft Bank",Series A,,08-25-2025
1474,Apna,Logistics,Chennai,"tiger global, Soft Bank",Pre-Seed,"$5,000,000",03-04-2024
193,ShareChat,HealthTech,PUNE,y combinator,Private Equity,"$200,000",2022-10-18
145,Mamaearth,E-Commerce,New Delhi,lightspeed india,Pre-Seed,"$40,000,000.00",02-Feb-2022
791,Chargebee,Cleantech,Calcutta,tiger global,Series A,"$100,000",2023-01-28
386,BHARATPE,AI/ML,NOIDA,"Elevation Capital, Sequoia",Series D,"$1,000,000.00",21-Jun-2020
298,CRED,Gaming,Hyderabad ,steadview capital,Series A,,2020/12/15
959,Licious,Cleantech,Pune,blume ventures,Series A,N/A,23/07/2022
1235,Urban Company,SaaS,,"Matrix Partners, Steadview",Series D,,02-04-2023
1083,cred,SaaS,Bombay,"accel india, Matrix Partners India",Pre-Seed,,15/07/2020
1498,Pine Labs,FoodTech,Pune,nexus partners,Series B,Undisclosed,06/01/2023
198,Slice,Media & Entertainment,Gurgaon,Info Edge,Private Equity,"$20,000,000",07-30-2025
1461,Acko,Logistics,Kolkata,Tiger Global,Series D,Undisclosed,30-Mar-2024
56,Pine Labs,FoodTech,MUMBAI,"SAIF Partners, Nexus Venture",Bridge,"7,000,000",29-Aug-2022
26,Moglix,FoodTech,Bombay,"Tiger Global, IDG Ventures",Series D,"$1,500,000",29-Sep-2022
1276,Infra.Market,Logistics,Delhi,Elevation Capital,Private Equity,"$20,000,000",2022/09/04
15,Moglix,EdTech,Hyderabad,"falcon edge, Chiratae Ventures",Seed,"3,300,000",21-Aug-2022
203,Innovaccer,SaaS,Hyderabad,Sequoia Capital,Angel,,02/07/2023
87,Freshworks,Retail Tech,Bombay,Sequoia,Pre-Seed,"4,100,000",2025/08/09
5,Zepto,AgriTech,Hyderabad,YC,Pre-Seed,,20-May-2022
994,unacademy,E-Commerce,Calcutta,"InfoEdge, Matrix Partners India",Seed,,14-Mar-2023
428,FirstCry,Retail Tech,Mumbai,"Sequoia, Falcon Edge Capital",Series E,Undisclosed,24/04/2020
168,ElasticRun,AgriTech,Delhi,accel india,Angel,N/A,2023-06-13
1466,Moglix,HealthTech,Hyderabad,"Lightspeed Venture Partners, Sequoia",Seed,Undisclosed,20/05/2020
1118,Postman,Media & Entertainment,MUMBAI,"IDG Ventures, blume ventures",Series E,"50,000,000",04-08-2024
387,Zetwerk,Media & Entertainment,MUMBAI,nexus partners,Series B,"50,000,000",2025/11/07
932,Khatabook,FoodTech,Madras,lightspeed india,Private Equity,"4,400,000",05-21-2024
1443,BharatPe,Retail Tech,Bangalore,"Y Combinator, Sequoia",Series D,Undisclosed,07-05-2025
1211,Razorpay,EdTech,,Blume,Seed,Undisclosed,06-10-2020
1445,PolicyBazaar,Mobility,New Delhi,nexus partners,Series C,"$18,000,000.00",2020-06-20
29,Vernacular.ai,Cleantech,gurugram,"accel india, Matrix Partners India",Debt Financing,N/A,17/09/2021
292,Rebel Foods,Logistics,Ahmedabad,SOFTBANK,Series B,N/A,27-May-2023
633,ShareChat,Real Estate Tech,pune,steadview capital,Series E,,2022/02/18
72,Vedantu,,NOIDA,"Accel Partners, YC",Pre-Seed,"₹830,000,000",05/07/2020
564,Zepto,Mobility,New Delhi,Matrix Partners,Debt Financing,"$30,000,000",2023-01-31
815,Licious,Real Estate Tech,Hyderabad,"Matrix Partners India, Accel India",Series D,"USD 40,000,000",07-24-2021
1052,physicswallah,Media & Entertainment,Kolkata,YC,Private Equity,N/A,06-14-2024
799,Darwinbox,FoodTech,gurugram,"Steadview, IDG Ventures",Pre-Seed,,2024-07-29
1307,DIGIT INSURANCE,Cleantech,mumbai,Accel India,Debt Financing,,2023-04-03
231,BharatPe,SaaS,Hyderabad,Softbank Vision Fund,Series C,"$4,000,000.00",2020/08/10
70,Darwinbox,FinTech,,"Steadview, YC",Series E,N/A,12/10/2020
166,INFRA.MARKET,Retail Tech,gurugram,"Matrix Partners, IDG Ventures",Series E,"USD 800,000",2025-10-13
1334,CHARGEBEE,Mobility,NOIDA,Elevation,Series C,"USD 40,000,000",03/06/2020
607,Postman,Media & Entertainment,Madras,Kalaari,Series D,N/A,04/12/2022
259,FirstCry,SaaS,Ahmedabad,"lightspeed india, info edge ventures",Bridge,"₹1,245,000,000",14/03/2025
1290,PolicyBazaar,FinTech,New Delhi,lightspeed india,Series E,"$200,000",04-Oct-2020
1470,Acko,HealthTech,Madras,"Accel Partners, Nexus Venture Partners",Debt Financing,N/A,21-Feb-2020
79,Mamaearth,HealthTech,Calcutta,Steadview,Bridge,,03-07-2024
1310,boAt,,NOIDA,"lightspeed india, blume ventures",Pre-Seed,,13/02/2021
382,PHYSICSWALLAH,Media & Entertainment,hyderabad,IDG Ventures,Series C,N/A,2022/07/14
927,Innovaccer,InsurTech,noida,Sequoia Capital India,Series D,Undisclosed,2025/07/20
1148,UPGRAD,Real Estate Tech,gurugram,"Nexus Venture, Chiratae Ventures",Series E,"$20,000,000",08-Jul-2021
1062,Rebel Foods,HealthTech,kolkata,"Nexus Venture Partners, tiger global",Bridge,Undisclosed,2021/05/09
1326,Zepto,FinTech,Hyderabad ,Soft Bank,Angel,"$4,900,000",2025-06-23
357,Darwinbox,EdTech,hyderabad,"falcon edge, SOFTBANK",Series A,Undisclosed,
243,Freshworks,Retail Tech,GGN,"lightspeed india, kalaari capital",Private Equity,Undisclosed,2022-08-10
1193,ElasticRun,Mobility,hyderabad,Sequoia,Angel,"USD 1,700,000",06/06/2024
576,Innovaccer,FinTech,bangalore,Tiger Global,Series D,N/A,10/01/2023
1418, Byju's ,Real Estate Tech,Kolkata,"lightspeed india, Elevation Capital",Private Equity,"$14,000,000.00",22/02/2024
41,Dunzo,AI/ML,Hyderabad,"Chiratae Ventures, Blume Ventures",Pre-Seed,"$50,000,000",13/09/2021
83,vernacular.ai,FoodTech,Noida,blume ventures,Series D,"USD 20,000,000",21-Jun-2023
190,Groww,Logistics,Ahmedabad,YC,Debt Financing,Undisclosed,2025-04-21
1417,Nykaa,Retail Tech,kolkata,"Chiratae, InfoEdge",Series E,"USD 20,000,000",16-Oct-2021
1296,Dailyhunt,Logistics,Hyderabad,"InfoEdge, YC",Private Equity,Undisclosed,23/04/2025
361,ShareChat,Retail Tech,Chennai,Softbank Vision Fund,Series D,N/A,2020-12-28
814,Dunzo,Cleantech,Madras,Blume,Series A,"30,000,000",10-27-2022
1072,zepto,Media & Entertainment,Gurugram,"Lightspeed Venture Partners, Matrix Partners",Debt Financing,"USD 4,400,000",
245,Rebel Foods,Mobility,ahmedabad,"YC, Accel India",Series B,"₹1,494,000,000",2023/06/10
194,Udaan,Mobility,NOIDA,Elevation Capital,Series C,"$16,000,000.00",2025/04/27
234,DARWINBOX,E-Commerce,New delhi,"Chiratae Ventures, info edge ventures",Series C,"$1,700,000",2024/07/17
1294,zomato,Mobility,Noida,steadview capital,Bridge,"USD 3,000,000",2020-01-25
653,Zetwerk,HealthTech,Ahmedabad,"Steadview, Soft Bank",Bridge,N/A,
664,,,,,,,
150,Apna,AgriTech,Pune,"Soft Bank, y combinator",Bridge,"10,000,000",2023/01/02
277,Urban Company,E-Commerce,mumbai,Accel,Private Equity,N/A,2021/03/08
999,rebel foods,EdTech,Kolkata,"Steadview, tiger global",Private Equity,"$1,400,000",05/08/2023
247,Groww,Cleantech,ahmedabad,"Accel Partners, lightspeed india",Seed,"₹3,320,000,000",23/08/2020
1021,Swiggy,Retail Tech,Noida,Steadview,Series D,"₹1,660,000,000",12-25-2021
464,Dunzo,E-Commerce,Hyderabad ,"Tiger Global, Softbank Vision Fund",Seed,"$4,500,000.00",2022-03-26
902,firstcry,HealthTech,BLR,"tiger global, Lightspeed Venture Partners",Series A,,01-Aug-2020
692,Moglix,FoodTech,Gurgaon,"SOFTBANK, sequoia capital india",Series A,"₹398,400,000",06/09/2020
200,Dailyhunt,Real Estate Tech,mumbai,"Nexus Venture, YC",Series D,Undisclosed,2020/08/07
1467,Ola Electric,FoodTech,ahmedabad,"Y Combinator, Nexus Venture Partners",Angel,"USD 5,000,000",23-Jan-2023
68,Razorpay,HealthTech,Mumbai,"y combinator, SoftBank",Private Equity,"30,000,000",08-09-2024
152,Urban Company,Mobility,ahmedabad,Y Combinator,Series C,"₹2,490,000,000",11-20-2021
260,MobiKwik,InsurTech,Mumbai,Lightspeed,Angel,N/A,16-Jan-2023
709,PHARMEASY,HealthTech,New delhi,Softbank Vision Fund,Series A,,27/08/2024
557,Swiggy,SaaS,GGN,Kalaari,Series C,"$20,000,000",
1203,Zetwerk,AI/ML,NCR,Lightspeed,Pre-Seed,Undisclosed,2022/01/31
1492,Meesho,Media & Entertainment,pune,"SoftBank, Elevation Capital",Series D,"₹830,000,000",04-Dec-2024
1159,Khatabook,Mobility,GGN,sequoia capital india,Bridge,"$3,100,000",27-Jan-2021
1364,CarDekho,HealthTech,mumbai,"steadview capital, Matrix Partners India",Series A,"$40,000,000",2024/08/13
1426,Acko,InsurTech,Hyderabad,Steadview Capital,Series B,"USD 19,000,000",
1267,Slice,Logistics,Bengaluru ,"Chiratae Ventures, Accel India",Pre-Seed,"₹830,000,000",29/06/2024
842,Rebel Foods,Cleantech,mumbai,Blume Ventures,Seed,,2020-12-24
7,Razorpay,InsurTech,Madras,"Falcon Edge Capital, IDG Ventures",Series A,,04-01-2021
407,Rebel Foods,HealthTech,noida,Elevation,Series C,"$30,000,000",2020-11-09
1292,Ola Electric,InsurTech,PUNE,tiger global,Series E,,2025-02-28
810,OYO,FinTech,Pune,Chiratae,Series C,"USD 16,000,000",09/02/2021
1246,ACKO,FoodTech,Calcutta,"nexus partners, sequoia capital india",Angel,"$30,000,000.00",2021-07-23
1342,Udaan,Media & Entertainment,Bengaluru ,YC,Series A,N/A,12/06/2023
702,Delhivery,Media & Entertainment,Bengaluru,IDG Ventures,Series E,,02/04/2025
1206,Delhivery,FinTech,Hyderabad,Blume Ventures,Private Equity,Undisclosed,10-23-2024
112,zomato,FoodTech,Madras,"Blume Ventures, Elevation",Series E,"USD 10,000,000",2025-12-31
1059,BharatPe,FoodTech,hyderabad,Tiger Global Management,Seed,"20,000,000",10-Jun-2022
378,ShareChat,Cleantech,Chennai,"Blume Ventures, y combinator",Angel,Undisclosed,2025/05/03
1181,,,,,,,
1431,Moglix,Logistics,Bengaluru ,Tiger Global Management,Angel,"13,000,000",2020/04/08
59,FRESHWORKS,Gaming,delhi,"y combinator, Matrix Partners India",Series A,N/A,2024-02-07
476,Vernacular.ai,,Hyderabad,"Chiratae, Elevation Capital",Series E,N/A,24/09/2025
461,slice,Logistics,Chennai,Blume Ventures,Debt Financing,Undisclosed,2023-10-27
46,Khatabook,FinTech,PUNE,blume ventures,Angel,N/A,2025-07-07
235,innovaccer,Cleantech,delhi,"SoftBank, Blume",Series E,"$20,000,000.00",06/10/2025
1331,OLA ELECTRIC,E-Commerce,New Delhi,"Chiratae Ventures, Sequoia Capital India",Debt Financing,N/A,2025/12/26
635,ElasticRun,SaaS,BLR,Steadview Capital,Seed,"USD 9,000,000",29-Nov-2023
558,PharmEasy,Cleantech,noida,"Chiratae, falcon edge",Series E,,2021/12/25
466,urban company,Media & Entertainment,Madras,kalaari capital,Series D,Undisclosed,
229,Physicswallah,HealthTech,Ahmedabad,lightspeed india,Series A,"₹157,700,000",27-Nov-2024
219,Digit Insurance,Real Estate Tech,Calcutta,kalaari capital,Series D,"$20,000,000.00",2025/08/25
254,Khatabook,Gaming,Noida,"nexus partners, Accel",Seed,"$40,000,000",08-20-2025
305, Infra.Market ,Media & Entertainment,Gurugram,"Elevation Capital, y combinator",Series C,,2023/12/03
310,Freshworks,Media & Entertainment,Hyderabad,IDG Ventures,Angel,N/A,
1167,CRED,E-Commerce,Ahmedabad,Tiger Global Management,Series D,"USD 40,000,000",2024/05/28
1152, Vernacular.ai ,EdTech,gurugram,Falcon Edge,Series C,,28/09/2025
500,dunzo,Media & Entertainment,New Delhi,steadview capital,Seed,"$10,000,000.00",22-Mar-2024
478,FIRSTCRY,AI/ML,Hyderabad,Falcon Edge,Angel,,04/11/2023
1363,Moglix,FoodTech,Madras,"Accel, IDG Ventures",Series A,"₹4,150,000,000",16/02/2020
1112,FirstCry,Logistics,mumbai,blume ventures,Private Equity,,22-Mar-2020
827,Khatabook,FoodTech,PUNE,"Info Edge, SoftBank",Series C,"₹323,700,000",2022/01/02
459,BYJU'S,FoodTech,Noida,Lightspeed Venture Partners,Series D,"50,000,000",06/02/2023
866, Zerodha ,Gaming,New delhi,Elevation Capital,Series B,"$4,600,000",22-Oct-2020
787,PolicyBazaar,FinTech,kolkata,"Falcon Edge Capital, Tiger Global",Private Equity,Undisclosed,01-30-2020
869,Moglix,AI/ML,kolkata,InfoEdge,Series B,"$9,000,000",2025/04/22
840,ShareChat,Cleantech,Bombay,Nexus Venture,Pre-Seed,,2024-02-26
1487,Razorpay,Gaming,noida,IDG Ventures,Series B,"4,600,000",06/06/2024
116, Zomato ,Gaming,Hyderabad ,Blume,Series B,"30,000,000",04-23-2023
484,Delhivery,Mobility,Calcutta,"steadview capital, Sequoia Capital India",Pre-Seed,"$8,000,000",2024-01-20
849,Infra.Market,Real Estate Tech,ahmedabad,blume ventures,Series C,"₹2,490,000,000",14-Dec-2025
117,Groww,AI/ML,ahmedabad,"y combinator, Falcon Edge Capital",Series C,Undisclosed,12-03-2025
1228,boAt,SaaS,Kolkata,"steadview capital, Nexus Venture",Series B,"₹830,000,000",17-Jun-2024
362,darwinbox,AI/ML,Ahmedabad,"Matrix Partners India, Falcon Edge Capital",Series D,Undisclosed,2022-07-08
553,Moglix,Cleantech,Bombay,Blume Ventures,Angel,N/A,09-12-2020
975,OYO,Gaming,New delhi,blume ventures,Pre-Seed,"$16,000,000",23/12/2023
422,BharatPe,Real Estate Tech,Hyderabad,Steadview,Bridge,Undisclosed,15-Nov-2023
725,FIRSTCRY,Mobility,GGN,"nexus partners, Sequoia Capital",Series D,,09-14-2024
777,Urban Company,Retail Tech,Noida,lightspeed india,Series D,"40,000,000",2021/06/14
856,Zerodha,Gaming,Bengaluru ,Tiger Global,Series B,"USD 50,000,000",
1182,Groww,Logistics,Pune,"info edge ventures, Nexus Venture",Debt Financing,Undisclosed,25/11/2020
1187,ELASTICRUN,FoodTech,Gurugram,"Sequoia Capital India, Matrix Partners",Series C,N/A,2020-08-04
1035,CarDekho,FoodTech,Bengaluru,"Falcon Edge Capital, SOFTBANK",Bridge,"$3,000,000",2024-12-27
55,Acko,FoodTech,New Delhi,"Kalaari Capital, Elevation",Private Equity,"₹3,320,000,000",02-25-2025
1000,Postman,Gaming,Calcutta,"kalaari capital, Falcon Edge Capital",Private Equity,"$10,000,000.00",2025-05-17
1180,Nykaa,FinTech,Mumbai,Lightspeed,Angel,"₹116,200,000",08-20-2022
619,OYO,HealthTech,PUNE,Blume Ventures,Series D,"$9,000,000.00",20/07/2022
587,FirstCry,Cleantech,Bombay,Soft Bank,Series C,"$5,000,000",2022/09/27
321,Unacademy,Retail Tech,NOIDA,"Kalaari, Soft Bank",Debt Financing,"$2,900,000.00",
546,boAt,Media & Entertainment,Madras,"Steadview Capital, lightspeed india",Angel,"40,000,000",
1291,Rebel Foods,Cleantech,Bombay,"falcon edge, Blume Ventures",Series E,"6,000,000",06/05/2022
1386,upGrad,AgriTech,GGN,"Blume Ventures, Sequoia Capital India",Series E,"USD 1,000,000",2024/09/09
